cell_id,lat,lon,elevation_ft,slope_deg,aspect_deg,aspect_cardinal,elevation_band,avy_slope,north_facing,terrain_risk_score,composite_risk_score,geopoint,geoshape
MBR-004564,41.07787,-106.10213,8953.0,8.8,130.0,SE,below_treeline,False,False,1,1,"41.077870,-106.102130","{""type"": ""Polygon"", ""coordinates"": [[[-106.1065740738501, 41.074537036480336], [-106.09768518495166, 41.074537036480336], [-106.09768518495166, 41.08120370315417], [-106.1065740738501, 41.08120370315417], [-106.1065740738501, 41.074537036480336]]]}"
MBR-004565,41.07787,-106.093148,8905.0,12.0,137.0,SE,below_treeline,False,False,1,1,"41.077870,-106.093148","{""type"": ""Polygon"", ""coordinates"": [[[-106.09759259235895, 41.074537036480336], [-106.08870370346051, 41.074537036480336], [-106.08870370346051, 41.08120370315417], [-106.09759259235895, 41.08120370315417], [-106.09759259235895, 41.074537036480336]]]}"
MBR-004566,41.07787,-106.084167,8860.0,23.9,135.0,SE,below_treeline,False,False,1,1,"41.077870,-106.084167","{""type"": ""Polygon"", ""coordinates"": [[[-106.0886111108678, 41.074537036480336], [-106.07972222196936, 41.074537036480336], [-106.07972222196936, 41.08120370315417], [-106.0886111108678, 41.08120370315417], [-106.0886111108678, 41.074537036480336]]]}"
MBR-004567,41.07787,-106.075185,8813.0,13.6,124.0,SE,below_treeline,False,False,1,1,"41.077870,-106.075185","{""type"": ""Polygon"", ""coordinates"": [[[-106.07962962937667, 41.074537036480336], [-106.07074074047823, 41.074537036480336], [-106.07074074047823, 41.08120370315417], [-106.07962962937667, 41.08120370315417], [-106.07962962937667, 41.074537036480336]]]}"
MBR-004568,41.07787,-106.066204,8739.0,22.8,134.0,SE,below_treeline,False,False,1,1,"41.077870,-106.066204","{""type"": ""Polygon"", ""coordinates"": [[[-106.07064814788552, 41.074537036480336], [-106.06175925898708, 41.074537036480336], [-106.06175925898708, 41.08120370315417], [-106.07064814788552, 41.08120370315417], [-106.07064814788552, 41.074537036480336]]]}"
MBR-004569,41.07787,-106.057222,8668.0,42.4,137.0,SE,below_treeline,True,False,2,2,"41.077870,-106.057222","{""type"": ""Polygon"", ""coordinates"": [[[-106.06166666639437, 41.074537036480336], [-106.05277777749593, 41.074537036480336], [-106.05277777749593, 41.08120370315417], [-106.06166666639437, 41.08120370315417], [-106.06166666639437, 41.074537036480336]]]}"
MBR-004570,41.07787,-106.048241,8562.0,24.7,112.0,E,below_treeline,False,False,1,1,"41.077870,-106.048241","{""type"": ""Polygon"", ""coordinates"": [[[-106.05268518490324, 41.074537036480336], [-106.0437962960048, 41.074537036480336], [-106.0437962960048, 41.08120370315417], [-106.05268518490324, 41.08120370315417], [-106.05268518490324, 41.074537036480336]]]}"
MBR-004571,41.07787,-106.039259,8424.0,33.2,141.0,SE,below_treeline,True,False,2,2,"41.077870,-106.039259","{""type"": ""Polygon"", ""coordinates"": [[[-106.04370370341209, 41.074537036480336], [-106.03481481451365, 41.074537036480336], [-106.03481481451365, 41.08120370315417], [-106.04370370341209, 41.08120370315417], [-106.04370370341209, 41.074537036480336]]]}"
MBR-004572,41.07787,-106.030278,8176.0,47.3,129.0,SE,below_treeline,False,False,3,3,"41.077870,-106.030278","{""type"": ""Polygon"", ""coordinates"": [[[-106.03472222192094, 41.074537036480336], [-106.0258333330225, 41.074537036480336], [-106.0258333330225, 41.08120370315417], [-106.03472222192094, 41.08120370315417], [-106.03472222192094, 41.074537036480336]]]}"
MBR-004573,41.07787,-106.021296,7873.0,44.4,121.0,SE,below_treeline,True,False,2,2,"41.077870,-106.021296","{""type"": ""Polygon"", ""coordinates"": [[[-106.0257407404298, 41.074537036480336], [-106.01685185153136, 41.074537036480336], [-106.01685185153136, 41.08120370315417], [-106.0257407404298, 41.08120370315417], [-106.0257407404298, 41.074537036480336]]]}"
MBR-004574,41.07787,-106.003333,7969.0,58.1,267.0,W,below_treeline,False,False,3,3,"41.077870,-106.003333","{""type"": ""Polygon"", ""coordinates"": [[[-106.00777777744752, 41.074537036480336], [-105.99888888854908, 41.074537036480336], [-105.99888888854908, 41.08120370315417], [-106.00777777744752, 41.08120370315417], [-106.00777777744752, 41.074537036480336]]]}"
MBR-004575,41.071111,-106.443426,7825.0,17.8,240.0,SW,below_treeline,False,False,1,1,"41.071111,-106.443426","{""type"": ""Polygon"", ""coordinates"": [[[-106.44787037051356, 41.067777777213806], [-106.43898148161512, 41.067777777213806], [-106.43898148161512, 41.07444444388764], [-106.44787037051356, 41.07444444388764], [-106.44787037051356, 41.067777777213806]]]}"
